Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight,Inch
"Acer TravelMate TMP214-53 Core i3 11th Gen 8GB RAM 14"" FHD Laptop",63000  bdt,Intel Core i3-1115G4 ,14 Inch IPS Full HD (1920X1080) Touch ScreenNo ,8GB,M.2 NVME SSD 512GB ,Intel UHD Graphics Shared ,Free DOS ,1.68 kg,15.232530120481927
Gigabyte Gaming G5 KE Intel Core i5 12500H 15.6 Inch FHD Display 512GB SSD Matte Black Gaming Laptop,161670  bdt,Intel Core i5 12th (Intel) Core i5 12500H 2.5GHz 4.50GHz 12 16 18MB Not Specified ,15.6 FHD Full HD 1920x1080 Not Specified No 144 Hz Thin Bezel 72% NTSC No Secondary Screen No Secondary Screen No Secondary Screen ,8GB,512GB SSD No HDD No HDD No NVMe PCIe Not Specified Not Specified ,Nvidia RTX 3060 Max-Q Graphics Dedicated 6GB GDDR6 ,Win-11 Home Not Specified Not Specified ,1.9 kg,15.232530120481924
ASUS Vivobook Pro 16X OLED N7600PC 16 inch WQUXGA Display Core i7 11th Gen 16GB RAM 512GB SSD Gaming Laptop with RTX 3050 4GB Graphics,167000  bdt,"Intel Core i7-11370H Processor 3.3 GHz (12M Cache, up to 4.8 GHz, 4 cores)","16.0-inch, 4K (3840 x 2400) WQUXGA OLED 16:10 aspect ratio,
0.2ms response time, 
550nits peak brightness, 
100% DCI-P3 color gamut,
1,000,000:1, VESA CERTIFIED Display HDR True Black 500,
1.07 billion colors, 
PANTONE Validated, 
Glossy display, 
70% less harmful blue light, 
SGS Eye Care Display, 
Screen-to-body ratio: 86 ％",16GB,512GBM.2 NVMe PCIe 3.0 SSD,"Intel Iris Xe Graphics, NVIDIA GeForce RTX 3050 Laptop GPU, 
With ASUS Boost up to 1700MHz at 35W (50W with Dynamic Boost) 
NVIDIA Max-Q technology for peak performance and efficiency, 4GB GDDR6 ",Windows 11 Home,1.95 kg,16.0
Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Silver Laptop #MNEQ3LL/A / MNEQ3ZP/A,199100  bdt,Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bezel IPS technology, 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors, 500 nits brightness, Wide color (P3), True Tone technology Not Applicable Not Applicable Not Applicable ",8GB,512GB SSD Not Applicable Not Applicable No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ",1.4 kg,15.232530120481924
Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U 15.6 Inch FHD Display Arctic Grey Laptop #82KU01C0IN-3Y,82460  bdt,AMD Ryzen 7 Not Applicable Ryzen 7 5700U 1.80 GHz 4.30 GHz 8 16 12MB AMD SoC platform ,"15.6 FHD IPS LED Display Full HD 1920x1080 Antiglare No 60 Hz Slim Bazel Brightness: 300 nits, Aspect Ratio: 16:9, Color Gamut: 45% NTSC No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD can be upgradeable ,AMD Radeon Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.65 kg,15.232530120481924
Dell Vostro 14 3400 Intel Core i7 1165G7 14 Inch FHD Display Black Laptop,104160  bdt,Intel Core i7 11th (Intel) Core i7 1165G7 2.80 GHz 4.70 GHz 4 8 12MB Not Specified ,14 FHD Full HD 1920x1080 Anti-glare No 60 Hz Thin-bezel Not Specified No Secondary Screen No Secondary Screen No Secondary Screen ,8GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe Not Specified Not Specified ,Nvidia MX330 Graphics Dedicated 2GB GDDR5 ,Free-Dos McAfee Antivirus 15 Months Subscription Not Specified ,1.59 kg,15.232530120481924
MSI GF63 Thin 11UC Intel Core i5 11400H 15.6 Inch FHD Display 8GB RAM Black Gaming Laptop #9S7-16R612-025 / 9S7-16R612-688,126400  bdt,Intel Core i5 11th (Intel) Core i5 11400H Not Specified 4.50 GHz 6 12 12MB Intel HM570 ,15.6 FHD IPS Full HD 1920x1080 Anti-Glare No 144 Hz Slim Bezel Not Specified No Secondary Screen No Secondary Screen No Secondary Screen ,8GB,"512GB SSD No HDD No HDD 1 NVMe PCIe No Additional HDD Can be added, SSD can be replaced ",Nvidia RTX 3050 Max-Q Dedicated 4GB GDDR6 ,Win-10 Home Not Specified Not Specified ,1.86 kg,15.232530120481924
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN63) Space Gray",120480  bdt,Apple M1 chip ,13.3-inch Retina display with IPS technology 2560 X 1600 Touch ScreenNo ,8GB,SSD 256GB ,Apple 7-core GPU Shared ,macOS ,1.29 kg,13.3
MSI Creator M16 A12UC Intel Core i7 12700H 16 Inch QHD Display Lunar Gray Gaming Laptop #A12UC-808BD-BB71270H16GXXDX11EMH,181200  bdt,Intel Core i7 12th (Intel) Core i7 12700H Not Specified 4.60 GHz 14 20 24MB Not Specified ,"16 QHD+ IPS LED Display QHD 2560x1600 Non-Glare No 120 Hz Thin Bezel WideView, IPS-Level No Secondary Screen No Secondary Screen No Secondary Screen ",16GB,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD can be upgradeable ,Nvidia RTX 3050 Dedicated 4GB GDDR6 ,Win-11 Home Not Specified Not Specified ,2.26 kg,15.232530120481924
Asus VivoBook 15 K513EQ Intel Core i5 1135G7 15.6 Inch FHD OLED Display Hearty Gold Laptop #L1596W-K513EQ,109590  bdt,Intel Core i5 11th (Intel) Core i5 1135G7 2.40 GHz 4.20 GHz 4 8 8MB Not Specified ,"15.6 FHD OLED Display Full HD 1920x1080 Glossy No 60 Hz Slim Bezel Aspect Ratio: 16:9, Response time: 0.2ms response time, Peak Brightness: 600nits peak brightness, Color gamut: 100% DCI-P3 color gamut, Contrast ratio: 1,000,000:1, VESA CERTIFIED Display HDR: VESA CERTIFIED Display HDR True Black 600, Color depth: 1.07 billion colors, Pantone: PANTONE??Validated, Low blue light: 70% less harmful blue light, SGS Eye Care Display: SGS Eye Care Display, Screen-to-body ratio: 85 %. No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,"512GB SSD No HDD No HDD Not Specified NVMe PCIe No Additional HDD Can be added, SSD can be replaced ",Nvidia MX350 Graphics Dedicated 2GB GDDR5 ,Win-11 Home Not Specified Not Specified ,1.80 kg,15.232530120481924
Apple Macbook Air M2 13.6 inch Liquid Retina Display M2 chip 8GB RAM 512GB SSD Laptop (Silver),nan bdt,"Apple M2 chip
8-core CPU with 4 performance cores and 4 efficiency cores","Liquid Retina display
13.6-inch (diagonal) LED-backlit display with IPS technology;1
2560-by-1664 native resolution at 224 pixels per inch with
support for 1 billion colors
500 nits brightness
The wide color (P3)
True Tone technology",8GB,512GB SSD,"8-core GPU
16-core Neural Engine
100GB/s memory bandwidth",macOS,1.73,13.6
Acer Extensa 15 EX215-54-596B 15.6 inch Full HD Display Core i5 11th Gen 8GB RAM 1TB HDD Laptop,61500  bdt,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)","15.6"" Full HD 1920 x 1080, high-brightness Acer ComfyView LED-backlit LCD",8GB,"1 TB, 2.5-inch 5400 RPM (Extra M.2 Nvme Gen 3.0 Slot Available)",Intel Iris Xe Graphics,Free Dos,1.9 kg,15.232530120481924
Dell Inspiron 15 3501 15.6- HD Display Core i3 10th Gen 4GB RAM 1TB HDD Laptop,nan bdt,"Intel Core i3-1005G1 Processor (4M Cache, 1.20 GHz up to 3.40 GHz)",15.6-inch HD Anti-Glare Display,4GB,"1TB 5400 rpm 2.5"" SATA Hard Drive (Extra m.2 NVmE SSD SLOT AVAILABLE)",Intel UHD Graphics,Windows 10,2.2 kg,15.6
HP 250 G8 Intel CDC N4020 15.6 Inch FHD Display Dark Ash Silver Laptop #5C3R7PA-3Y,44490  bdt,Intel Intel Celeron Dual Core CDC N4020 1.10GHz 2.80GHz 2 2 4MB ,"15.6 FHD Full HD 1920x1080 Anti-glare Narrow Bezel IPS, 250 Nits, 45% NTSC N/A N/A N/A ",4GB,1TB HDD 5400RPM ,Intel UHD Graphics Integrated Shared ,Win-11 Home ,1.74 kg,15.232530120481924
"HP 15s-du3520TX Core i7 11th Gen MX450 2GB Graphics 15.6"" FHD Laptop",108000  bdt,Intel Core i7-1165G7 ,15.6 Inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB,PCIe NVMe M.2 SSD 512GB ,NVIDIA GeForce MX450 2 GB ,Windows 11 Home ,1.75 kg,15.6
Asus ExpertBook B3 Flip B3402FEA Core i7 16gb Ram 14-inch 360° FHD Touch Laptop,117700  bdt,Intel Core i7-1165G7 ,14 Inch IPS FHD (1920 x 1080) Touch ScreenYes ,16GB,M.2 NVMe PCIe 3.0 SSD 512GB ,Intel Iris Xe Graphics Shared ,Free Dos ,1.61kg,15.232530120481927
Asus ROG Strix G17 G713RM AMD Ryzen 7 6800H 17.3 Inch FHD WV Display Eclipse Gray Gaming Laptop #KH157W-G713RM,249550  bdt,AMD Ryzen 7 Not Applicable Ryzen 7 6800H 3.20 GHz 4.70 GHz 8 16 20MB Not Specified ,"17.3 FHD IPS LED Display Full HD 1920x1080 Anti-Glare No 360 Hz Slim-Bezel Response Time (G2G): 3ms, Viewing Angle: 170 Degree, Brightness: 300nits, Contrast: 1:1000, Color Gamut: NTSC 72%, SRGB 100%, Adobe: 75.35%. Adaptive-Sync technology, Support Dolby Vision HDR, WV Display No Secondary Screen No Secondary Screen No Secondary Screen ",16GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe 1 Installed SSD can be upgradeable ,Nvidia RTX 3060 Graphics Dedicated 6GB GDDR6 ,"Win-11 Home Built-in Apps: McAfee, MyASUS, ScreenXpert Not Specified ",2.90 kg,15.232530120481924
ASUS D515DA 15.6 inch Full HD Display Ryzen 3 3250U 4GB RAM 512GB SSD Laptop,55500  bdt,"AMD Ryzen 3 3250U Mobile Processor (2C/4T, 5MB Cache, 3.5 GHz Max Boost)","15.6-inch, FHD (1920 x 1080) 16:9, 200nits, Anti-glare display, Screen-to-body ratio: 83 ％",4GB,512GB M.2 NVMe PCIe 3.0 SSD (Extra 2.5” SATA HDD Slot Available ),Radeon Vega 3 Graphics,Windows 10 Home,1.80 kg,15.6
Acer Nitro 5 AN515-45-R3TC 15.6 inch Full HD 144Hz Display Ryzen 5 5600H 16 GB RAM 1TB HDD 256GB SSD Gaming Laptop with RTX 3060 6GB Graphics,nan bdt,"AMD Ryzen 5 5600H Hexa-Core (L2 3MB & L3 16MB Cache, 3.3GHz Up to 4.2GHz)","15.6"" Full HD (1920 x 1080) 144 Hz ComfyView LED In-plane Switching (IPS) Technology, improved screen-to-body ratio to 80% with narrow 0.27"" bezels.",16 GB,"1TB 7200 RPM HDD 
256GB PCIe Gen3 NVMe SSD 
M.2 slot Available ",GeForce RTX 3060 6GB GDDR6 Graphics,Windows 10 Home,1.73,15.232530120481924
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 15.6 Inch FHD Display, Win 11, Cloud Grey Laptop",55340  bdt,AMD Ryzen 3 Not Applicable Ryzen 3 3250U 2.60 GHz 3.50 GHz 2 4 5MB AMD SoC (System on Chip) platform ,"15.6 FHD Full HD 1920x1080 Antiglare No 60 Hz Slim Bazel Aspect Ratio: 16:9, Color Gamut: 45% NTSC No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD can be upgradeable ,AMD Radeon Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.6 kg,15.232530120481924
GIGABYTE G5 GD 15.6 INCH FHD 144Hz DISPLAY I5 11TH GEN 16GB RAM 512GB SSD GAMING LAPTOP WITH 4GB RTX 3050 GRAPHICS,112000  bdt,11th Gen Intel® Core i5-11400H (2.7GHz~4.5GHz),"15.6"" Thin Bezel FHD 1920x1080 IPS-level Anti-glare Display LCD (144Hz Refresh Rate)",16GB,"Gen4- 512GB NVMe SSD,1x 2.5” HDD/ SSD slot (Only supports 7mm or thinner)","NVIDIA® GeForce RTX 3050 Laptop GPU 4GB GDDR6 
Boost Clock 1500 MHz, Maximum Graphics Power 75 W",Windows 10 Home,2.2 kg,15.232530120481924
Asus ZenBook Duo UX482EG Intel Core i7 1165G7 14 Inch FHD WV Display Celestial Blue Laptop #HY428W-UX482EG,198560  bdt,Intel Core i7 11th (Intel) Core i7 1165G7 2.80 GHz 4.70 GHz 4 8 12MB Not Specified ,"14 FHD Full HD 1920x1080 Anti glare Yes 60 Hz Slim-Bazel WV Display, Brightness: 400nits, Color gamut: 100% sRGB color gamut, Pantone: Pantone Validated, Screen-to-body ratio: 93% Not Specified ScreenPad Plus Touch Display 1920 x 515 ",16GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe No Installed SSD can be upgradeable ,Nvidia MX450 Graphics Dedicated 2GB GDDR5 ,Win-11 Home Not Specified Not Specified ,1.62 kg,15.232530120481924
Asus VivoBook Pro 15 M3500QC AMD Ryzen 9 5900HX 15.6 Inch FHD WV Display Quiet Blue Laptop #KJ371W/KJ433W-M3500QC,169260  bdt,AMD Ryzen 9 Not Applicable Ryzen 9 5900HX 3.30 GHz 4.60 GHz 8 16 20MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-Glare No 60 Hz Slim Bezel Aspect Ratio: 16:9, Brightness: 400nits, Color gamut: 100% sRGB color gamut, Screen-to-body ratio: 84%, WV Display Not Applicable Not Applicable Not Applicable ",16GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe Not Specified Installed SSD can be upgradeable ,Nvidia RTX 3050 Graphics Dedicated 4GB GDDR6 ,Win-11 Home Not Specified Not Specified ,1.65 kg,15.232530120481924
Lenovo Ideapad Slim 5 14 inch Full HD Display Ryzen 5 5500U 16GB RAM 512GB SSD Laptop (3 years Warranty),78000  bdt,"AMD Ryzen 5 5500U Processor (6 Cores / 12 Threads, 2.10 GHz, up to 4.00 GHz with Max Boost, 3 MB Cache L2 / 8 MB Cache L3)","14"" FHD (1920x1080) IPS Display 300 nits, 
Aspect Ratio: 16:9, 
Anti-glare-45% NTSC ",16GB,512GB NVMe SSD,AMD Radeon Graphics,Windows 11,1.5 kg,15.232530120481924
Apple MacBook Air Late 2020 Apple M1 Chip 13.3 Inch Retina Display Silver MacBook #MGN93LL/A / MGN93ZP/A / MGN93X/A,122610  bdt,Apple Apple M1 Not Applicable Apple M1 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bezel Maximum Brightness: 400 cd/m2, Color Gamut: 100% DCI-P3 No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,256GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 7-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ",1.29kg,15.232530120481924
MSI Vector GP66 12UE 15.6 inch Full HD 240Hz Display Core i7 12th Gen 16GB RAM 1TB SSD Gaming Laptop with RTX 3060 6GB Graphics,227000  bdt,"Intel Core i7-12700H ( 14 Core, 20 Thread - 24M Cache, 3.50 GHz up to 4.70 GHz )","15.6"" FHD (1920×1080), 240Hz, IPS-Level",16GB,1TB NVMe PCIe Gen4x4 SSD,"NVIDIA GeForce RTX 3060 Laptop GPU 6GB GDDR6 Up to 1752MHz Boost Clock, 140W Maximum Graphics Power with Dynamic Boost. Max. 185W CPU-GPU Power with MSI OverBoost Technology.",Windows 11 Home,2.38 kg,15.232530120481924
"HP 15s-fq5786TU Core i3 12th Gen 15.6"" FHD Laptop",69480  bdt,Intel Core i3-1215U ,"15.6 Inch IPS FHD (1920 x 1080) Display FeaturesMicro-edge
 Anti-glare 
250 nits 
45% NTSC ",8GB,PCIe NVMe M.2 SSD 512 GB ,Intel UHD Graphics Shared ,Windows 11 Home ,1.7 kg,15.6
Asus VivoBook S15 S513EA 15.6 inch FHD OLED Display Core i3 11th Gen 4GB RAM 512GB SSD Laptop (Indie Black),68500  bdt,"Intel Core i3-1115G4 Processor; 
Total Cores. 2; 
Total Threads. 4; 
Max Turbo Frequency. 4.10 GHz; 
Cache. 6 MB Intel Smart Cache","15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, 
Response time: 0.2ms response time, 
Peak Brightness: 600nits peak brightness, 
Color gamut: 100% DCI-P3 color gamut, 
Contrast ratio: 1,000,000:1, 
VESA CERTIFIED Display HDR: VESA CERTIFIED Display HDR True Black 600, 
Color depth: 1.07 billion colors, 
Pantone: PANTONE Validated, 
Low blue light: 70% less harmful blue light, 
SGS Eye Care Display: SGS Eye Care Display, 
Screen-to-body ratio: 85 %. ",4GB,512GB M.2 NVMe PCIe 3.0 SSD,Intel UHD Graphics,Wi-Fi 6(802.11ax),1.80 kg,15.6
MSI SUMMIT E14 A11SCST 14-inch Full HD Display Core i7 11 gen 16GB RAM 1TB SSD GTX1650 Ti Max-Q 4GB Graphics laptop,156500  bdt,11th Gen. Intel Core i7-1185G7 Processor,"14"" FHD (1920*1080), 60Hz 72%NTSC Finger Touch panel",16GB,1TB NVMe PCIe Gen4x4 SSD,"NVIDIA GeForce GTX 1650 Ti With Max-Q Design, 4GB GDDR6",Windows 10 Home,1.29 kg,15.232530120481924
Lenovo Note V14 14 inch HD Display Core i3 11th Gen 8GB RAM 1TB HDD 512GB SSD Laptop,60500  bdt," Intel Core i3-1115G4 (6M Cache, 3.00 GHz up to 4.10 GHz)","35.6cms (14) HD, 300 nits, antiglare",8GB,"1 TB 5400rpm HDD 
Extra M.2 Slot512GB SSD",Intel UHD 600 Graphics,Free DOS,1.6 kg,15.232530120481924
"Dell Latitude 14 3420 Core i7 11th Gen 14"" FHD Laptop",116100  bdt,Intel Core i7-1165G7 ,14 inch FHD (1920 x 1080) Touch ScreenNo Display FeaturesAG 250nits Display ,8GB,M.2 PCIe NVMe SSD 512GB ,Intel Iris Xe Graphics Shared ,Free DOS ,1.52kg,15.232530120481927
Lenovo IdeaPad Slim 5 Pro 14ACN6 AMD Ryzen 5 5600U 14 Inch 2.2K IPS Antiglare Display Storm Grey Laptop #82L700B1IN-2Y,99820  bdt,AMD Ryzen 5 Not Applicable Ryzen 5 5600U 2.30 GHz 4.20 GHz 6 12 19MB AMD SoC (System on Chip) platform ,"14 2.2K IPS LED Display Full HD 2240x1400 Antiglare No 60 Hz Slim Bezel Panel Type: IPS, Brightness: 300nits, Color Gamut: 100% sRGB, Aspect Ratio: 16:10, Contrast Ratio: 1500:1, Viewing Angle: 170 Degree No Secondary Screen No Secondary Screen No Secondary Screen ",16GB,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD can be upgradeable ,AMD Radeon Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Microsoft Office ,1.38 kg,15.232530120481924
Lenovo IdeaPad Slim 3i 15ITL Intel Core i5 1135G7 15.6 Inch FHD Display Arctic Grey Laptop #82H801WKIN-2Y,77040  bdt,Intel Core i5 11th (Intel) Core i5 1135G7 2.40 GHz 4.20 GHz 4 8 8MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-Glare No 60 Hz Narrow Bezel IPS Display, Brightness: 300 Nits No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD can be upgradeable ,Intel Iris Xe Graphics Integrated Shared Not Applicable ,"Win-11 Home Windows 10, McAfee LiveSafe,  Microsoft Office, Lenovo Utility, Lenovo Vantage Microsoft Office ",1.65 kg,15.232530120481924
HP 250 G8 Intel Core i5 1135G7 15.6 Inch FHD Display Ash Laptop #5C127PA-3Y,86260  bdt,Intel Core i5 11th (Intel) Core i5 1135G7 2.40 GHz 4.20 GHz 4 8 8MB Not Specified ,15.6 FHD Full HD 1920x1080 Not Specified No 60 Hz Slim-Bazel Not Specified No Secondary Screen No Secondary Screen No Secondary Screen ,8GB,"1TB HDD SATA 5400 RPM Not Specified No SSD 1 Additional SSD Can be added, HDD can be replaced ",Intel Iris Xe Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.74 kg,15.232530120481924
Apple MacBook Pro (Late 2021) Apple M1 Pro Chip 16.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z14V0015W,301630  bdt,Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"16.2 Liquid Retina XDR Display 4K UHD 3456x2234 Glossy No 120 Hz Slim Bezel Aspect Ratio: 16:10, Contrast Ratio: 1,000,000:1, Glossy with Antireflective Coating No Secondary Screen No Secondary Screen No Secondary Screen ",16GB,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,16-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ",2.2 kg,15.232530120481924
Walton PASSION BX3700A 14-inch HD Display Core i3 7th Gen 4GB RAM 512GB SSD Laptop,nan bdt,"Intel Core i3-7020U Processor (2.3GHz, DDR4-2133MHz, 3MB Smart Cache)","14"" HD (1366x768) 35.56cm. 16:9 panel, 3.6mm, Display",4GB,"512GB SATAIII M.2 2280 SSD
(Extra M.2 SSD Slot Available)",Intel HD Graphics 620,Windows 10,1.97kg,15.232530120481924
Asus VivoBook 14 X415FA 14 inch Full HD Display Core i3 10th Gen 4GB RAM 1TB HDD Laptop,49500  bdt,"Intel Core i3 10110U Processor (4MB Cache, 2.1Ghz up to 4.1Ghz)","14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, IPS-level Panel, LED Backlit, 250nits, 45% NTSC , Screen-to-body ratio: 84 ％",4GB,1TB SATA HDD (Extra M.2 Nvme Slot Available For SSD),Intel UHD Graphics,Windows 11 Home,1.60 kg,14.0
ASUS ExpertBook B3 Flip B3402FEA 14 inch Full HD Touch Display Core i5 11th Gen 8GB RAM 512GB SSD 2 in 1 Laptop,89000  bdt,"Intel Core i5-1135G7 8M Cache, up to 4.20 GHz Processor","Touch screen, 14.0-inch, LCD, FHD (1920 x 1080) 16:9, Wide view, Glossy display, LED Backlit, 400nits, sRGB: 100%",8GB,512GB M.2 NVMe PCIe 3.0 SSD,Intel Iris Xe Graphics,Free-DOS,1.73,14.0
Acer Predator PH315-53 15.6 inch Full HD 144Hz Display Core i7 10th Gen 16 GB RAM 256GB SSD 1TB HDD Gaming Laptop with RTX 3060 6GB Graphics,180000  bdt,"Intel Core I7-10870H Processor (16M Cache, 2.20 GHz Up To 5.00 GHz)","39.6 Cm (15.6"") Display With IPS (In-Plane Switching) Technology, Full HD 1920 X 1080 Pixel, High-Brightness (300 Nits) Acer ComfyViewTM LED-Backlit TFT LCD, Supporting 144 Hz,3 Ms Overdrive",32GB,1 TB HDD & 256GB SSD,NVIDIA RTX 3060 6GB DDR6 Graphics Card,Windows 10 64-Bit,1.73,15.232530120481924
Asus TUF Gaming A15 FA507RE AMD Ryzen 7 6800H 15.6 Inch FHD WV LED Display Mecha Gray (TUF) Gaming Laptop #HF045W-FA507RE,192050  bdt,AMD Ryzen 7 Not Applicable Ryzen 7 6800H 3.20 GHz 4.70 GHz 8 16 20MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-glare No 144 Hz Slim Bezel WV Display, Aspect ratio: 16:9, Panel Tech: Value IPS-level No Secondary Screen No Secondary Screen No Secondary Screen ",16GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe Not Specified Not Specified ,Nvidia RTX 3050 Ti Dedicated 4GB GDDR6 ,Win-11 Home Not Specified Not Specified ,2.20kg,15.232530120481924
"ASUS VivoBook 15 X1500EA Core i5 11th Gen 15.6"" FHD Laptop",80330  bdt,Intel Core  i5-1135G7 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB,HDD 1TB ,Intel Iris Xe Graphics Shared ,Windows 11 Home ,1.80 kg,15.6
"Lenovo ThinkPad P14s Gen 2 Core i5 11th Gen T500 4GB Graphics Card 14"" FHD Business Laptop",190500  bdt,Intel Core i5-1135G7 ,14 Inch IPS FHD (1920 x 1080) Touch ScreenNo ,16GB,M.2 2242 PCIe Gen3 TLC SDD 512GB ,NVIDIA Quadro T500 4GB GDDR6 DirectX 12 4GB ,FreeDOS ,1.72,15.232530120481927
"HP ProBook 440 G8 Core i7 11th Gen 14"" FHD Laptop With Windows 10 Pro",119900  bdt,Intel Core i7-1165G7 ,14 Inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB,PCIe NVMe M.2 SSD 512 GB ,Intel Iris Xe Graphics Shared ,Windows 10 Pro ,1.38 kg,15.232530120481927
Asus X515EA Intel Core i5 1135G7 15.6 Inch FHD Display Peacock Blue Laptop #EJ2459W-X515EA,75950  bdt,Intel Core i5 11th (Intel) Core i5 1135G7 2.40GHz 4.20GHz 4 8 8MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-glare No 60 Hz Slim Bezel 16:9 aspect ratio, 83% Screen-to-body ratio No Secondary Screen No Secondary Screen No Secondary Screen ",4GB,1TB HDD SATA III 5400 RPM Not Specified No 1 Additional SSD Can be added ,Intel Iris Xe Graphics Integrated Shared Not Applicable ,Win-11 Home MyASUS Not Specified ,1.80 kg,15.232530120481924
Lenovo Note V14 14 inch HD Display Core i3 11th Gen 8GB RAM 1TB HDD 128GB SSD Laptop,57500  bdt," Intel Core i3-1115G4 (6M Cache, 3.00 GHz up to 4.10 GHz)","35.6cms (14) HD, 300 nits, antiglare",8GB,"1 TB 5400rpm HDD 
Extra M.2 Slot128GB SSD",Intel UHD 600 Graphics,Free DOS,1.6 kg,15.232530120481924
Asus VivoBook S15 S513EA 15.6 inch Full HD OLED Display Core i3 11th Gen 8GB RAM 512GB SSD Laptop (Indie Black),71000  bdt,"Intel Core i3-1115G4 Processor; 
Total Cores. 2; 
Total Threads. 4; 
Max Turbo Frequency. 4.10 GHz; 
Cache. 6 MB Intel Smart Cache","15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, 
Response time: 0.2ms response time, 
Peak Brightness: 600nits peak brightness, 
Color gamut: 100% DCI-P3 color gamut, 
Contrast ratio: 1,000,000:1, 
VESA CERTIFIED Display HDR: VESA CERTIFIED Display HDR True Black 600, 
Color depth: 1.07 billion colors, 
Pantone: PANTONE Validated, 
Low blue light: 70% less harmful blue light, 
SGS Eye Care Display: SGS Eye Care Display, 
Screen-to-body ratio: 85 %. ",8GB,512GB M.2 NVMe PCIe 3.0 SSD,Intel UHD Graphics,Wi-Fi 6(802.11ax),1.80 kg,15.6
